# Per-country facts from Wikidata (CC0), fetched by build_facts.py.
# continent P30, currency P38, language P37, drive P1622,
# landlocked P31 = Q123480, org P463 memberships, gov P122 basic
# form of government, tz P421 time zones.
# country	continent	currency	language	drive	landlocked	org	gov	tz
Burkina Faso	Africa	West African CFA franc	Bissa|Dioula|Mooré	right	1	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Conseil de l'Entente|Economic Community of West African States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	military junta|republic	Africa/Ouagadougou|UTC±00:00
Burundi	Africa	Burundian franc	English|French|Kirundi	right	1	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Economic Community of Central African States|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|representative democracy	Africa/Bujumbura|UTC+02:00
Cambodia	Asia	riel	Khmer	right	0	ASEAN|ASEAN Regional Forum|Asian Development Bank|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	Asia/Phnom_Penh|UTC+07:00
Cameroon	Africa	Central African CFA franc	English|French	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Bank of Central African States|Commonwealth of Nations|Economic Community of Central African States|Economic and Monetary Community of Central Africa|Group on Earth Observations|Gulf of Guinea Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Lake Chad Basin Commission|Multilateral Investment Guarantee Agency|Multinational Joint Task Force|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Africa/Douala|UTC+01:00|West Africa Time
Canada	North America	Canadian dollar	English|French	right	0	ABCANZ Armies|ASEAN Regional Forum|AUSCANNZUKUS|African Development Bank|Air Force Interoperability Council|Arctic Council|Asia-Pacific Economic Cooperation|Asian Development Bank|Australia Group|Caribbean Development Bank|Combined Communications-Electronics Board|Commonwealth of Nations|Five Eyes|G20|G7|G8|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|League of Nations|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|North American Free Trade Agreement|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Organization of American States|The Technical Cooperation Program|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy|federation|parliamentary system	Atlantic Time Zone|Central Time Zone|Eastern Time Zone|Mountain Time Zone|Newfoundland Time Zone|UTC−04:00|UTC−06:00|UTC−07:00
Cape Verde	Africa	Cape Verdean escudo	Cape Verdean Creole|Portuguese	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Alliance of Small Island States|Community of Portuguese Language Countries|Economic Community of West African States|Food and Agriculture Organization of the United Nations|Group of 77|Intelsat|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Aviation Organization|International Development Association|International Finance Corporation|International Fund for Agricultural Development|International Maritime Organization|International Monetary Fund|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Non-Aligned Movement|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African Unity|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UN Trade and Development|UNESCO|United Nations|United Nations Economic Commission for Africa|United Nations Industrial Development Organization|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	Atlantic/Cape_Verde|Cape Verde Time|UTC−01:00
Central African Republic	Africa	Central African CFA franc	French|Sango	right	1	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Bank of Central African States|Economic Community of Central African States|Economic and Monetary Community of Central Africa|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Lake Chad Basin Commission|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Bangui|UTC+01:00
Chad	Africa	Central African CFA franc	Arabic|Bashkir|French|Russian	right	1	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Bank of Central African States|Economic Community of Central African States|Economic and Monetary Community of Central Africa|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Lake Chad Basin Commission|Multilateral Investment Guarantee Agency|Multinational Joint Task Force|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Ndjamena|UTC+01:00
Chile	South America	Chilean peso	Spanish	right	0	ABC nations|Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Andean Community|Antarctic Treaty System|Asia-Pacific Economic Cooperation|Carbon Neutrality Coalition|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Latin America|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	democratic republic	UTC−03:00|UTC−04:00|UTC−06:00
China	Asia	renminbi	Putonghua	right	0	ASEAN Regional Forum|African Development Bank|Antarctic Treaty System|Asia-Pacific Economic Cooperation|Asian Development Bank|BRIC|BRICS|Caribbean Development Bank|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Shanghai Cooperation Organisation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations Security Council|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization|states with nuclear weapons	people's republic	Asia/Shanghai|Asia/Urumqi|China Standard Time|UTC+08:00
Colombia	South America	Colombian peso	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Andean Community|Caribbean Development Bank|Central American Bank for Economic Integration|Community of Latin American and Caribbean States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	America/Bogota|Central European Time
