# Per-country facts from Wikidata (CC0), fetched by build_facts.py.
# continent P30, currency P38, language P37, drive P1622,
# landlocked P31 = Q123480, org P463 memberships, gov P122 basic
# form of government, tz P421 time zones.
# country	continent	currency	language	drive	landlocked	org	gov	tz
Ivory Coast	Africa	West African CFA franc	French	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Conseil de l'Entente|Economic Community of West African States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Mano River Union|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Africa/Abidjan|UTC±00:00
Jamaica	North America	Jamaican dollar	English|Jamaican Patois	left	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		America/Jamaica
Japan	Asia	yen	Japanese	left	0	ASEAN Regional Forum|African Development Bank|Antarctic Treaty System|Asia-Pacific Economic Cooperation|Asian Development Bank|Australia Group|G20|G7|G8|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|League of Nations|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	Asia/Tokyo|Japan Standard Time|UTC+09:00
Jordan	Asia	Jordanian dinar	Arabic	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|Washington Liberation Front|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Asia/Amman|UTC+02:00|UTC+03:00
Kazakhstan	Asia|Europe	Kazakhstani tenge	Kazakh|Russian	right	1	Asian Development Bank|Central Asian Cooperation Organization|Collective Security Treaty Organization|Commonwealth of Independent States|Commonwealth of Independent States Free Trade Area|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization for Security and Co-operation in Europe|Organization of Turkic States|Shanghai Cooperation Organisation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	presidential system	UTC+05:00
Kenya	Africa	Kenyan shilling	English|Swahili	left	0	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Nairobi|UTC+03:00
Kiribati	Insular Oceania|Oceania	Australian dollar|Kiribati dollar	English|Gilbertese	left	0	Alliance of Small Island States|Asian Development Bank|Commonwealth of Nations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Health Organization|World Meteorological Organization		Pacific/Kanton|Pacific/Kiritimati|Pacific/Tarawa|UTC+12:00|UTC+13:00|UTC+14:00
Kyrgyzstan	Asia	Kyrgyz som	Kyrgyz	right	1	Asian Development Bank|Central Asian Cooperation Organization|Collective Security Treaty Organization|Commonwealth of Independent States|Commonwealth of Independent States Free Trade Area|International Bank for Reconstruction and Development|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization for Security and Co-operation in Europe|Organization of Turkic States|Shanghai Cooperation Organisation|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+06:00
Laos	Asia	Lao kip	Lao	right	1	ASEAN|ASEAN Regional Forum|Asian Development Bank|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|World Customs Organization|World Health Organization|World Meteorological Organization	communist dictatorship|people's republic	Asia/Vientiane|UTC+07:00
Latvia	Europe		Latvian	right	0	Australia Group|Baltic Assembly|Council of Europe|Council of the Baltic Sea States|Eurocontrol|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nordic Battle Group|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic|republic	UTC+02:00|UTC+03:00
Lebanon	Asia	Lebanese pound	Arabic	right	0	Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|GovAI Coalition|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	parliamentary republic	Asia/Beirut|Eastern European Summer Time|Eastern European Time|UTC+02:00|UTC+03:00
Lesotho	Africa	loti|rand	English|Sesotho	left	1	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Customs Union|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	Africa/Maseru|UTC+02:00
Libya	Africa	Libyan dinar	Arabic	right	0	African Continental Free Trade Area|African Development Bank|African Union|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Maghreb Union|Arab Monetary Fund|International Bank for Reconstruction and Development|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	republic	Africa/Tripoli|Eastern European Time|UTC+02:00
Lithuania	Europe		Lithuanian	right	0	Baltic Assembly|Council of Europe|Council of the Baltic Sea States|Eurocontrol|European Union|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Schengen Area|Strategic Airlift Capability|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic|semi-presidential system	UTC+02:00|UTC+03:00
Madagascar	Africa	ariary	French|Malagasy	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Group on Earth Observations|Indian Ocean Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	UTC+03:00
Malawi	Africa	Malawian kwacha	Chewa|English|Tumbuka	left	1	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Blantyre|UTC+02:00
Malaysia	Asia	Malaysian ringgit	Malay	left	0	ASEAN|ASEAN Regional Forum|Asia-Pacific Economic Cooperation|Asian Development Bank|Commonwealth of Nations|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy|elective monarchy|federal monarchy|federation|parliamentary monarchy	Asia/Kuala_Lumpur|UTC+08:00
Mali	Africa	West African CFA franc	Bambara|Bobo|Bozo|Dogon|Fula|Hassaniya Arabic|Kassonke|Maninka|Minyanka|Senufo|Songhay|Soninke|Tamasheq	right	1	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Groundnut Council|African Union|Economic Community of West African States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Bamako|UTC+03:00|UTC±00:00
Malta	Asia|Europe		English|Maltese	left	0	Australia Group|Commonwealth of Nations|Council of Europe|Eurocontrol|European Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Schengen Area|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary democracy	UTC+01:00
Marshall Islands	Oceania	SOV|United States dollar	English|Marshallese	right	0	Alliance of Small Island States|Asian Development Bank|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|World Health Organization		Pacific/Kwajalein|Pacific/Majuro|UTC+12:00
Mauritania	Africa	Mauritanian ouguiya	Arabic	right	0	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Union|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Maghreb Union|Arab Monetary Fund|Economic Community of West African States|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Nouakchott|UTC±00:00
Mauritius	Africa	Mauritian rupee	English|French	left	0	African Continental Free Trade Area|African Development Bank|African Union|Alliance of Small Island States|Commonwealth of Nations|Group on Earth Observations|Indian Ocean Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	Indian/Mauritius|UTC+04:00
Mexico	North America	peso	Nahuatl|Spanish|Yucatec Maya	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|American Convention on Human Rights|Asia-Pacific Economic Cooperation|Australia Group|Bank for International Settlements|Caribbean Development Bank|Central American Bank for Economic Integration|Community of Latin American and Caribbean States|Conference on Disarmament|Food and Agriculture Organization of the United Nations|G20|Group of 15|Group on Earth Observations|Inter-American Development Bank|International Atomic Energy Agency|International Bank for Reconstruction and Development|International Civil Aviation Organization|International Coffee Organization|International Criminal Court|International Development Association|International Finance Corporation|International Fund for Agricultural Development|International Hydrographic Organization|International Olympic Committee|International Organization for Migration|International Red Cross and Red Crescent Movement|International Telecommunication Union|International Trade Union Confederation|Interpol|Latin American Integration Association|Multilateral Investment Guarantee Agency|National Aeronautics and Space Administration|Non-Aligned Movement|North American Free Trade Agreement|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization of American States|Rio Group|Treaty on the Non-Proliferation of Nuclear Weapons|UN Trade and Development|UNESCO|United Nations|United Nations Economic Commission for Latin America and the Caribbean|United States–Mexico–Canada Agreement|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional republic|democratic republic|empire|federal republic|presidential system	Central Time Zone
Mongolia	Asia	Mongolian tögrög	Mongolian	right	1	ASEAN Regional Forum|Asian Development Bank|COMECON|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary system	Asia/Choibalsan|Asia/Hovd|Asia/Ulaanbaatar|UTC+08:00
Montenegro	Europe		Montenegrin|Spanish	right	0	Council of Europe|Eurocontrol|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Montenegro–Ukraine Free Trade Area|Multilateral Investment Guarantee Agency|NATO|Organisation for the Prohibition of Chemical Weapons|Organization for Security and Co-operation in Europe|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	UTC+01:00
Morocco	Africa	Moroccan dirham	Arabic|Standard Moroccan Tamazight	right	0	African Continental Free Trade Area|African Development Bank|African Union|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Maghreb Union|Arab Monetary Fund|Eurocontrol|Group on Earth Observations|International Atomic Energy Agency|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Maghreb|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy	Africa/Casablanca|UTC+01:00|UTC±00:00
Mozambique	Africa	Mozambican metical	Portuguese	left	0	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|Community of Portuguese Language Countries|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Maputo|UTC+02:00
Myanmar	Asia	kyat	Burmese	right	0	ASEAN|ASEAN Regional Forum|Asian Development Bank|Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	Asia/Yangon|UTC+06:30
Namibia	Africa	Namibian dollar|rand	English	left	0	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|International Bank for Reconstruction and Development|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Customs Union|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Windhoek|UTC+02:00
Nepal	Asia	Nepalese rupee	Nepali	left	1	Asian Development Bank|Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	federal republic|people's republic	Asia/Kathmandu|Nepal Standard Time|UTC+05:45
Netherlands	Europe		Dutch	right	0	Accreditation Organisation of the Netherlands and Flanders|African Development Bank|Antarctic Treaty System|Asian Development Bank|Australia Group|Bank for International Settlements|Benelux|CERN|Council of Europe|Dutch Language Union|Economic and Monetary Union of the European Union|Eurocontrol|European Air Transport Command|European Bank for Reconstruction and Development|European Coal and Steel Community|European Economic Area|European Investment Bank|European Payments Union|European Southern Observatory|European Space Agency|European Union|Food and Agriculture Organization of the United Nations|Group of Ten|Group on Earth Observations|Inter-American Development Bank|International Atomic Energy Agency|International Chamber of Commerce|International Civil Aviation Organization|International Criminal Court|International Development Association|International Energy Agency|International Fund for Agricultural Development|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Labour Organization|International Maritime Organization|International Monetary Fund|International Olympic Committee|International Organization for Migration|International Organization for Standardization|International Telecommunication Union|International Trade Union Confederation|Interpol|Multilateral Investment Guarantee Agency|NATO|National Education Association|Nuclear Suppliers Group|Office of the United Nations High Commissioner for Refugees|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Paris Club|Permanent Court of Arbitration|Schengen Area|Treaty on Open Skies|UN Trade and Development|UNESCO|United Nations Industrial Development Organization|United Nations Institute for Training and Research|United Nations Peacekeeping Force in Cyprus|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization|Zangger Committee	constitutional monarchy|parliamentary monarchy	UTC+01:00|UTC+02:00
New Zealand	Oceania	New Zealand dollar	English|Māori|New Zealand Sign Language	left	0	ABCANZ Armies|ANZUK|ANZUS|ASEAN Regional Forum|AUSCANNZUKUS|Air Force Interoperability Council|Asia-Pacific Economic Cooperation|Asian Development Bank|Australia Group|Combined Communications-Electronics Board|Commonwealth of Nations|Five Eyes|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Multilateral Investment Guarantee Agency|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Southeast Asia Treaty Organization|The Technical Cooperation Program|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary monarchy	UTC+12:00|UTC+13:00
Nicaragua	North America	Nicaraguan córdoba	Spanish	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Central American Bank for Economic Integration|Central American Common Market|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Regional Organization for Agricultural Health|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	republic	America/Managua|UTC−06:00
Niger	Africa	West African CFA franc	Hausa	right	1	AFRISTAT|African Continental Free Trade Area|African Development Bank|African Groundnut Council|African Union|Conseil de l'Entente|Economic Community of West African States|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Lake Chad Basin Commission|Multilateral Investment Guarantee Agency|Multinational Joint Task Force|OHADA|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Niamey|UTC+01:00
Nigeria	Africa	naira	English	right	0	African Continental Free Trade Area|African Development Bank|African Groundnut Council|African Union|Commonwealth of Nations|Economic Community of West African States|Group on Earth Observations|Gulf of Guinea Commission|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Lake Chad Basin Commission|Multilateral Investment Guarantee Agency|Multinational Joint Task Force|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	federal republic	Africa/Lagos|UTC+01:00|West Africa Time
North Korea	Asia	North Korean won	Korean|North Korean standard language	right	0	ASEAN Regional Forum|Food and Agriculture Organization of the United Nations|Group of 77|International Civil Aviation Organization|International Fund for Agricultural Development|International Hydrographic Organization|International Maritime Organization|International Olympic Committee|International Organization for Standardization|International Red Cross and Red Crescent Movement|International Telecommunication Union|International Telecommunications Satellite Organization|Interparliamentary Union|Non-Aligned Movement|UN Tourism|UN Trade and Development|UNESCO|United Nations|United Nations Industrial Development Organization|Universal Postal Union|World Federation of Trade Unions|World Health Organization|World Intellectual Property Organization|World Meteorological Organization|states with nuclear weapons	Juche|communist dictatorship|family dictatorship|one-party state|republic|socialist state|unitary state	Asia/Pyongyang|UTC+09:00
North Macedonia	Europe	Macedonian denar	Albanian|Macedonian	right	1	Council of Europe|Eurocontrol|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Holocaust Remembrance Alliance|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|NATO|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organization for Security and Co-operation in Europe|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	parliamentary republic	UTC+01:00
